"Title","Authors","PublicationName","AlternateName","Abstract","Url","AuthorAddress","Year","DOI","ReferenceType","Keywords","PdfRelativePath","CustomId"
"Data standards can boost metabolomics research and if there is a will there is a way","Rocca-Serra P., Salek R. M., Arita M., Correa E., Dayalan S., Gonzalez-Beltran A., Ebbels T., Goodacre R., Hastings J., Haug K., Koulman A., Nikolski M., Oresic M., Sansone S. A., Schober D., Smith J., Steinbeck C., Viant M. R., Neumann S.","Metabolomics","","Thousands of articles using metabolomics approaches are published every year. With the increasing amounts of data being produced mere description of investigations as text in manuscripts is not sufficient to enable re-use anymore: the underlying data needs to be published together with the findings in the literature to maximise the benefit from public and private expenditure and to take advantage of an enormous opportunity to improve scientific reproducibility in metabolomics and cognate disciplines. Reporting recommendations in metabolomics started to emerge about a decade ago and were mostly concerned with inventories of the information that had to be reported in the literature for consistency. In recent years metabolomics data standards have developed extensively to include the primary research data derived results and the experimental description and importantly the metadata in a machine-readable way. This includes vendor independent data standards such as mzML for mass spectrometry and nmrML for NMR raw data that have both enabled the development of advanced data processing algorithms by the scientific community. Standards such as ISA-Tab cover essential metadata including the experimental design the applied protocols association between samples data files and the experimental factors for further statistical analysis. Altogether they pave the way for both reproducible research and data reuse including meta-analyses. Further incentives to prepare standards compliant data sets include new opportunities to publish data sets but also require a little ""arm twisting"" in the author guidelines of scientific journals to submit the data sets to public repositories such as the NIH Metabolomics Workbench or MetaboLights at EMBL-EBI. In the present article we look at standards for data sharing investigate their impact in metabolomics and give suggestions to improve their adoption. Copyright © 2015 The Author(s).","","","2016","10.1007/s11306-015-0879-3","","","pubmed-26612985.pdf","pubmed-26612985"
"Reporting and Guidelines in Propensity Score Analysis: A Systematic Review of Cancer and Cancer Surgical Studies","Yao X. I., Wang X., Speicher P. J., Hwang E. S., Cheng P., Harpole D. H., Berry M. F., Schrag D., Pang H. H.","Journal of the National Cancer Institute","","Background: Propensity score (PS) analysis is increasingly being used in observational studies especially in some cancer studies where random assignment is not feasible. This systematic review evaluates the use and reporting quality of PS analysis in oncology studies. Methods: We searched PubMed to identify the use of PS methods in cancer studies (CS) and cancer surgical studies (CSS) in major medical cancer and surgical journals over time and critically evaluated 33 CS published in top medical and cancer journals in 2014 and 2015 and 306 CSS published up to November 26 2015 without earlier date limits. The quality of reporting in PS analysis was evaluated. It was also compared over time and among journals with differing impact factors. All statistical tests were two-sided. Results: More than 50% of the publications with PS analysis from the past decade occurred within the past two years. Of the studies critically evaluated a considerable proportion did not clearly provide the variables used to estimate PS (CS 12.1% CSS 8.8%) incorrectly included non baseline variables (CS 3.4% CSS 9.3%) neglected the comparison of baseline characteristics (CS 21.9% CSS 15.6%) or did not report the matching algorithm utilized (CS 19.0% CSS 36.1%). In CSS the reporting of the matching algorithm improved in 2014 and 2015 ( P = .04) and the reporting of variables used to estimate PS was better in top surgery journals ( P = .008). However there were no statistically significant differences for the inclusion of non baseline variables and reporting of comparability of baseline characteristics. Conclusions: The use of PS in cancer studies has dramatically increased recently but there is substantial room for improvement in the quality of reporting even in top journals. Herein we have proposed reporting guidelines for PS analyses that are broadly applicable to different areas of medical research that will allow better evaluation and comparison across studies applying this approach.","","","2017","10.1093/jnci/djw323","","","medline-28376195.pdf","medline-28376195"
"A Lens for Evaluating Genetic Information Governance Models: Balancing Equity Efficiency and Sustainability","Skorve E., Vassilakopoulou P., Aanestad M., Grunfeld T.","Studies in Health Technology & Informatics","","This paper draws from the literature on collective action and the governance of the commons to address the governance of genetic data on variants of specific genes. Specifically the data arrangements under study relate to the BRCA genes (BRCA1 and BRCA2) which are linked to breast and ovarian cancer. These data are stored in global genetic data repositories and accessed by researchers and clinicians from both public and private institutions. The current BRCA data arrangements are fragmented and politicized as there are multiple tensions around data ownership and sharing. Three key principles are proposed for forming and evaluating data governance arrangements in the field. These principles are: equity efficiency and sustainability.","","","2017","","","","medline-28423802.pdf","medline-28423802"
"Multibac: a strategy to remove batch effects between different omic data types","Ugidos M. And Tarazona S. And Prats-Montalban J.m. And Ferrer A. And Conesa A.","Stat. Methods Med. Res","","Diversity of omic technologies has expanded in the last years together with the number of omic data integration strategies. However, multiomic data generation is costly, and many research groups cannot afford research projects where many different omic techniques are generated, at least at the same time. As most researchers share their data in public repositories, different omic datasets of the same biological system obtained at different labs can be combined to construct a multiomic study. However, data obtained at different labs or moments in time are typically subjected to batch effects that need to be removed for successful data integration. While there are methods to correct batch effects on the same data types obtained in different studies, they cannot be applied to correct lab or batch effects across omics. This impairs multiomic meta-analysis. Fortunately, in many cases, at least one omics platform-i.e. gene expression- is repeatedly measured across labs, together with the additional omic modalities that are specific to each study. This creates an opportunity for batch analysis. We have developed multibac (multiomic multiomics batch-effect correction correction), a strategy to correct batch effects from multiomic datasets distributed across different labs or data acquisition events. Our strategy is based on the existence of at least one shared data type which allows data prediction across omics. We validate this approach both on simulated data and on a case where the multiomic design is fully shared by two labs, hence batch effect correction within the same omic modality using traditional methods can be compared with the multibac correction across data types. Finally, we apply multibac to a true multiomic data integration problem to show that we are able to improve the detection of meaningful biological effects.copyright © the author(s) 2020.","","","2020","10.1177/0962280220907365","","","embase-2004451351.pdf","embase-2004451351"
"Social support and caregiver distress: a replication analysis","Miller B., Townsend A., Carpenter E., Montgomery R. V., Stull D., Young R. F.","Journals of Gerontology Series B-Psychological Sciences & Social Sciences","","OBJECTIVES: Prior studies have conceptualized and operationalized social support in different ways making it difficult to determine if the inconsistencies in findings are due to differences in study design samples conceptualization or measurement. The present study examined the replicability of models of social support and caregiver distress across 4 community-based caregiving studies representative of many conducted in the past 10 years. The goal was to identify areas of consistency in findings across the data sets.\\\\\\\\rMETHODS: The authors analyzed 3 models specifying patterns of relationship between social support and depression (main effect mediation effect and moderation effect) separately within data sets using hierarchical ordinary least squares regression. Results were compared across data sets.\\\\\\\\rRESULTS: The replication analysis confirmed the robustness of behavior problems and caregiver health as important contributors to caregiver distress. Results of hypotheses examining the pattern of relationship between social support and distress were inconsistent however. Only 1 type of social support was associated with distress in the expected direction: Less emotional support was associated with higher levels of distress in 2 of the 4 data sets.\\\\\\\\rDISCUSSION: More complex theoretical models that incorporate common measures to represent the linkages between types of stressor types of support and their interactions are needed to foster replicability and generalizability of research results.","","","2001","10.1093/geronb/56.4.s249","","","medline-11445617.pdf","medline-11445617"
"Demonstrating Broadcast Aggregate Keys for Data Sharing in Cloud","Rakshitha K., Rao A. S., Sagar Y., Ramasubbareddy S.","Lecture Notes in Networks and Systems","","In recent years the major issue in cloud computing is providing privacy for getting to re-appropriating information put away on cloud. To store also to share information safely cryptosystem is utilized. In cryptosystem the client needs to scramble the data before securing data on cloud and after that decode the data to get to it. This errand can need numerous keys for information encode just like information decoding. But the problem arises with data integrity where data can be modified or the files can be replaced without the knowledge of the data owner. So to ensure the trustworthiness of the record the information proprietor figures the hash-based message authentication code (HMAC) signature on each encoded document. © 2020 Springer Nature Singapore Pte Ltd.","","","2020","10.1007/978-981-15-2043-3_23","","","scopus-2-s2.0-85081566882.pdf","scopus-2-s2.0-85081566882"
"Developing an extension of the right statement for clinical practice guidelines on acupuncture: right for acupuncture – a protocol","Tang, C. And Lu, L. And Duan, Y. And Zhang, Y. And Zhou, Q. And Luo, X. And Chen, Y. And Xu, N.","European Journal Of Integrative Medicine","","Introduction: the 2017 international standard for reporting items for practice guideline in healthcare (right) published reporting guidelines to enhance transparency and clarity in the process of developing clinical practice guidelines (cpgs). As there are some barriers in the applicability of these guidelines to acupuncture due to its specificity in terms of manipulations, locations and channels compared to other health care interventions, we aim to develop a specific reporting checklist for the development of cpgs on acupuncture. Methods: the study design will refer to the methodology recommended by the enhancing the quality and transparency of health research (equator) network and will be modified as appropriate. We will conduct a literature review and establish an international multidisciplinary team, including a development group, a delphi panellists group and an advisory group. We will run three rounds of modified delphi surveys, face-to-face consensus meetings, consultations with advisors, pilot tests of the draft list of reports and promotion of the checklist. We plan to update regularly. Results: the study is ongoing and there are no complete results. We will update it in time if there is any result. Conclusions: this work will be relevant to a broad range of cpgs addressing questions of reporting standards on cpgs on acupuncture, which will have the following advantages: 1) to provide regulations for guideline developers;  2) to obtain more precise and clear guidelines for readers and clinical practitioners;  and 3) to evaluate reporting quality of cpgs on acupuncture and improve transparency of research reports for editors and reviewers. © 2019","","","2019","10.1016/j.eujim.2019.04.002","","","scopus-2-s2.0-85066927237.pdf","scopus-2-s2.0-85066927237"
"Data availability improvement in peer-to-peer online social networks","Koohpar, F.k. And Fatemi, A. And Raji, F.","Iet Information Security","","One of the main challenges of centralised social networks is having a central provider that stores the data which imposes some limitations to preserve the privacy of users' data. However, one of the decentralised architectures is peer-to-peer network that every user takes the responsibility of storing and managing his/her data. Although the privacy of data is increased in these networks, authorised friends must have access to the shared data when the user is not online in the network. For this purpose, the user selects some friends and copies his/her data in their space. On the other hand, the amount of used space and the total number of replicas must be reduced as much as possible. In this study, the authors provide some solutions to reduce the amount of used space and the total number of replicas to increase data availability. In this way, they segment the user's data and consider the stability of copy-location, i.e. the selected friends who have a copy of the user's data. The performance evaluation of the proposed methods shows that they considerably reduce the amount of used space as well as the total number of replicas in comparison to other approaches. © the institution of engineering and technology 2020.","","","2020","10.1049/iet-ifs.2019.0363","","","scopus-2-s2.0-85083458400.pdf","scopus-2-s2.0-85083458400"
"The campbell collaboration: providing better evidence for a better world","Littell, J.h. And White, H.","Research On Social Work Practice","","In this article, we trace the development of the campbell collaboration and its renewed efforts to build a world library of accurate, synthesized evidence to inform policy and practice and improve human well-being worldwide. Campbell systematic reviews and related evidence synthesis products provide unbiased summaries of entire bodies of empirical evidence, making them uniquely useful sources of information for policy and practice. With recent changes in organizational structure and new leadership, the campbell collaboration is poised to dramatically increase the production, dissemination, and use of rigorous syntheses of research on social, economic, and behavioral interventions. Campbell provides opportunities for social work scholars, practitioners, and consumers to contribute to knowledge about the processes and outcomes of social, behavioral, and economic interventions. © 2017, © the author(s) 2017.","","","2018","10.1177/1049731517703748","","","scopus-2-s2.0-85038403943.pdf","scopus-2-s2.0-85038403943"
"Empirical research on organizational infrastructure model impact to spatial data sharing","Chao, H. And Chou, T.-Y.","Annals Of Gis","","There are many factors in various aspects that affect spatial data sharing (sds), such as organization, personnel, legal system, data use, technique, motives, cost, fairness, power balance and data standards. Early research had mostly dealt with personal experience, which lacked holistic thinking and resolving. In recent years, researchers who believed sds as a social phenomenon began study using social network analysis and observed the role played by organizational networks during the process of sds to explain how organizational networks affected sds. While there exist few studies on sds between units and persons within an organization, and past research lacked effective methods of message gathering and filtering from the targeted organizations, this study proposed the empirical method and dimensions, unlike before, to understand and promote sds from various aspects. After observation on organizational process of sds over a long period, this article gathered empirical data on the behaviours of sds in taichung city government over 17 years and explained the sharing structure model of spatial data in organizational network by social network analysis and graph theory. The importance of the connection between the centre node in such structural model and the routine affairs of the organization was elaborated. This study provided the empirical method and scientifically generated results. © 2013 taylor & francis group.","","","2013","10.1080/19475683.2013.843592","","","scopus-2-s2.0-84889680077.pdf","scopus-2-s2.0-84889680077"
"Mobile data sharing and high availability","Hongisto, M.","Vtt Tiedotteita - Valtion Teknillinen Tutkimuskeskus","","This work introduces a model for decentralised and platform-independent data sharing for highly dynamic networks. The goal is not to deliver a solution that can be considered similar to database systems. Communication and replication challenges are presented and examined from the perspective of nomadic computing. The aim has been to provide highly available data sharing over features over mobile distributed systems. The primary functionality of the data-sharing model introduced here has been validated with simulations. A fully functional data-sharing model has been implemented and tested in a simulated environment. A simulated environment was chosen over real network conditions in order to offer data distribution pattern tracking in several different network topologies and environments. This study provides understanding of the data sharing factors that are important in decentralised distribution models. These factors include location determination for replica storing and control message propagation over weak connections. Smart data distribution is crucial for weakly connected networks to offer access to shared resources. In heterogeneous environments, it is also necessary to consider possible transmission resource savings, and an idea for partitioning data into small elements is introduced. A data distribution algorithm based on this understanding is designed and evaluated. According to technology surveys and the evaluation of data sharing implementation, it is clear that the optimistic replication schema is the choice for data distribution over weakly connected networks. This requires conflict solving for eventual consistency, or any equivalent method to provide the correct operation for applications. A decentralised data management model is the best alternative to operate in weakly connected networks, as it is able to function regardless of network partitions. The data sharing approach presented here provides full adaptability to different network topologies and computing platforms, and it is able to offer data sharing services for any device to some degree. A decentralised data sharing approach introduces new challenges;  these are discussed, and their viability for implementation is estimated. Copyright © vtt 2002.","","","2002","","","","scopus-2-s2.0-84884717935.pdf","scopus-2-s2.0-84884717935"
"Reporting guidelines: Doing better for readers","Moher D.","BMC Medicine","","There is clear guidance on the responsibilities of editors to ensure that the research they publish is of the highest possible quality. Poor reporting is unethical and directly impacts patient care. Reporting guidelines are a relatively recent development to help improve the accuracy clarity and transparency of biomedical publications. They have caught on with hundreds of reporting guidelines now available. Some journals endorse reporting guidelines while a smaller number have used various approaches to implement them. Yet challenges remain - biomedical research is still not optimally reported despite the abundance of reporting guidelines. Electronic algorithms are now being developed to facilitate the choice of correct reporting guideline(s) while other tools are being integrated into journal editorial management processes. Universities need to consider whether it is responsible to advance careers of faculty based on poorly reported research which is of little societal value. If journals embraced auditing of the quality of articles they publish this would give them and their readers essential feedback from which to improve their product. Copyright © 2018 The Author(s).","","","2018","10.1186/s12916-018-1226-0","","","medline-30545364.pdf","medline-30545364"
