"Title","Authors","PublicationName","AlternateName","Abstract","Url","AuthorAddress","Year","DOI","ReferenceType","Keywords","PdfRelativePath","CustomId"
"Perceived justice as predictors of a successful pay equity plan: a canadian case study","Cloutier, J. And Lamarche, B.","Gender In Management","","Purpose – this study aims to identify the predictors of successful implementations of pay equity plans. Drawing on the perspective of organizational justice, this study highlights the factors that lead to the establishment of perceived fair pay for female-dominated jobs. Design/methodology/approach – qualitative data were collected from 107 respondents in a canadian company that implemented a pay equity plan as required by the quebec pay equity act. Findings – justice perceptions of employees are based on: uniformity of implementation, bias suppression with respect to the right to fair pay, reliability of information on job content, relevance of job evaluation criteria, qualifications and impartiality of the pay equity committee members and the quality of employees’ representation and process transparency. Research limitations/implications – this study was conducted at a single workplace and among relatively highly educated respondents. Replicating the study may allow to verify the transferability of the results by considering workers’ demographic characteristics and organizational culture. Practical implications – the study highlights the cornerstones that may guide the development of an assessment tool of the effectiveness of pay equity processes. These results will additionally help employers to circumvent difficulties which may otherwise thwart the implementation of pay equity plans. Originality/value – this study highlights how employees construct their perceptions of justice in a specific context. It sheds light on the salient features of the pay equity implementation, the sources of information involved and the justice rules used. This study also highlights the specific forms of the justice rules in this context. © emerald group publishing limited.","","","2015","10.1108/gm-08-2013-0089","","","scopus-2-s2.0-84930168416.pdf","scopus-2-s2.0-84930168416"
"The effect of short-term transcutaneous electrical stimulation of auricular vagus nerve on parameters of heart rate variability","Shvartz, V. And Sizhazhev, E. And Sokolskaya, M. And Koroleva, S. And Enginoev, S. And Kruchinova, S. And Shvartz, E. And Golukhova, E.","Data","","Many previous studies have demonstrated that transcutaneous vagus nerve stimulation (vns) has the potential to exhibit therapeutic effects similar to its invasive counterpart. An objective assessment of vns requires a reliable biomarker of successful vagal activation. Although many potential biomarkers have been proposed, most studies have focused on heart rate variability (hrv). Despite the physiological rationale for hrv as a biomarker for assessing vagal stimulation, data on its effects on hrv are equivocal. To further advance this field, future studies investigating vns should contain adequate methodological specifics that make it possible to compare the results between studies, to replicate studies, and to enhance the safety of study participants. This article describes the design and methodology of a randomized study evaluating the effect of short-term noninvasive stimulation of the auricular branch of the vagus nerve on parameters of hrv. Primary records of rhythmograms of all the subjects, as well as a dataset with clinical, instrumental, and laboratory data of all the current study subjects are in the public domain for possible secondary analysis to all interested researchers. The physiological interpretation of the obtained data is not considered in the article. Dataset: vladimir shvartz, (2023), “auricular vagus stimulation and heart rate variability”, open science framework. https://doi.org/10.17605/osf.io/stu62. Dataset license: cc by 4.0. © 2023 by the authors.","","","2023","10.3390/data8050087","","","scopus-2-s2.0-85160214512.pdf","scopus-2-s2.0-85160214512"
"HPIDB 2.0: a curated database for host-pathogen interactions","Ammari M. G., Gresham C. R., McCarthy F. M., Nanduri B.","Database: The Journal of Biological Databases and Curation","","Identification and analysis of host-pathogen interactions (HPI) is essential to study infectious diseases. However HPI data are sparse in existing molecular interaction databases especially for agricultural host-pathogen systems. Therefore resources that annotate predict and display the HPI that underpin infectious diseases are critical for developing novel intervention strategies. HPIDB 2.0 (http://www.agbase.msstate.edu/hpi/main.html) is a resource for HPI data and contains 45 238 manually curated entries in the current release. Since the first description of the database in 2010 multiple enhancements to HPIDB data and interface services were made that are described here. Notably HPIDB 2.0 now provides targeted biocuration of molecular interaction data. As a member of the International Molecular Exchange consortium annotations provided by HPIDB 2.0 curators meet community standards to provide detailed contextual experimental information and facilitate data sharing. Moreover HPIDB 2.0 provides access to rapidly available community annotations that capture minimum molecular interaction information to address immediate researcher needs for HPI network analysis. In addition to curation HPIDB 2.0 integrates HPI from existing external sources and contains tools to infer additional HPI where annotated data are scarce. Compared to other interaction databases our data collection approach ensures HPIDB 2.0 users access the most comprehensive HPI data from a wide range of pathogens and their hosts (594 pathogen and 70 host species as of February 2016). Improvements also include enhanced search capacity addition of Gene Ontology functional information and implementation of network visualization. The changes made to HPIDB 2.0 content and interface ensure that users especially agricultural researchers are able to easily access and analyse high quality comprehensive HPI data. All HPIDB 2.0 data are updated regularly are publically available for direct download and are disseminated to other molecular interaction resources.Database URL: http://www.agbase.msstate.edu/hpi/main.html.","","","2016","10.1093/database/baw103","","","medline-27374121.pdf","medline-27374121"
"Systematic reviews are rarely used to contextualise new results-a systematic review and meta-analysis of meta-research studies","Draborg E., Andreasen J., Norgaard B., Juhl C. B., Yost J., Brunnhuber K., Robinson K. A., Lund H.","Systematic Reviews","","BACKGROUND: Results of new studies should be interpreted in the context of what is already known to compare results and build the state of the science. This systematic review and meta-analysis aimed to identify and synthesise results from meta-research studies examining if original studies within health use systematic reviews to place their results in the context of earlier similar studies.\\\\\\\\rMETHODS: We searched MEDLINE (OVID) EMBASE (OVID) and the Cochrane Methodology Register for meta-research studies reporting the use of systematic reviews to place results of original clinical studies in the context of existing studies. The primary outcome was the percentage of original studies included in the meta-research studies using systematic reviews or meta-analyses placing new results in the context of existing studies. Two reviewers independently performed screening and data extraction. Data were synthesised using narrative synthesis and a random-effects meta-analysis was performed to estimate the mean proportion of original studies placing their results in the context of earlier studies. The protocol was registered in Open Science Framework.\\\\\\\\rRESULTS: We included 15 meta-research studies representing 1724 original studies. The mean percentage of original studies within these meta-research studies placing their results in the context of existing studies was 30.7% (95% CI [23.8% 37.6%] I2=87.4%). Only one of the meta-research studies integrated results in a meta-analysis while four integrated their results within a systematic review; the remaining cited or referred to a systematic review. The results of this systematic review are characterised by a high degree of heterogeneity and should be interpreted cautiously.\\\\\\\\rCONCLUSION: Our systematic review demonstrates a low rate of and great variability in using systematic reviews to place new results in the context of existing studies. On average one third of the original studies contextualised their results. Improvement is still needed in researchers' use of prior research systematically and transparently-also known as the use of an evidence-based research approach to contribute to the accumulation of new evidence on which future studies should be based.\\\\\\\\rSYSTEMATIC REVIEW REGISTRATION: Open Science registration number https://osf.io/8gkzu/. Copyright © 2022. The Author(s).","","","2022","10.1186/s13643-022-02062-8","","","medline-36064741.pdf","medline-36064741"
"Data anonymization with imprecise rules and its performance evaluations","Inuiguchi, M. And Ichida, H. And Torra, V.","Journal Of Ambient Intelligence And Humanized Computing","","Privacy protection is absolutely imperative for data releases when the utilization of public data and big data is getting popular. In this paper, data anonymization methods using rough set-based rule induction are investigated. It has been shown that many rules with imprecise conclusions can improve the classification accuracy of the rule-based classifier. Data anonymization methods utilizing rules with imprecise conclusions are proposed. The data tables anonymized by one of the proposed methods can preserve the classification accuracy of the rules induced from them. The proposed methods as well as conventional data anonymization methods are compared from two viewpoints: the classification accuracy of rules induced from the anonymized data table and the preservation of data anonymity. The results show the usefulness of the proposed methods. © 2019, springer-verlag gmbh germany, part of springer nature.","","","2019","10.1007/s12652-019-01468-y","","","scopus-2-s2.0-85073947096.pdf","scopus-2-s2.0-85073947096"
"Prioritizing research gaps for national conservation management and policy: the managers’ perspective in estonia","Lõhmus, A. And Fridolin, H. And Leivits, A. And Tõnisson, K. And Rannap, R.","Biodiversity And Conservation","","Conservation scientists often lack explicit understanding of the knowledge problems faced in practical conservation, which can be resolved through communication between the scientists and the managers. Focusing on cost-effectiveness of such communication, we planned and implemented a rapid research gap prioritization procedure for the main stakeholder groups in conservation management and policy (‘managers’) in estonia. The procedure required each research gap to be explicitly linked with its expected application and comprised three steps: (i) preparatory work of the managers to list their main knowledge gaps;  (ii) a seminar for representatives of all the main manager groups to sort out the potentially most influential research topics at the national scale;  (iii) analysis and synopsis writing of the top-voted topics. Researchers provided the methodology, facilitated the procedure, helped to translate practical problems into research topics and checked the topics for existing research. The paper describes the 13 high-priority research topics, which were distinguished among more than 60 topics listed. Land-use planning decisions (notably in forests) were most frequently perceived to lack critical knowledge, while only two priority topics were listed for political decision-making (both in agricultural policy). The priority topics proposed for wetland conservation focused on management techniques to mitigate artificial drainage. Our experience was that, through direct two-way communication between managers and researchers, the perceived knowledge gaps in conservation can be rapidly and transparently formulated as research topics. However, the managers’ views tend to focus on short-term effects of conservation, and a different procedure may be needed for researchers who might vision for longer and less predictable future. © 2019, springer nature b.v.","","","2019","10.1007/s10531-019-01779-8","","","scopus-2-s2.0-85066907026.pdf","scopus-2-s2.0-85066907026"
"Reproducibility in clinical psychology","Hopwood, Christopher J And Vazire, Simine","","","This chapter describes the importance of reproducibility in the scientific method. It reviews recent issues in the social sciences that contributed to the recognition of reproducibility problems, and presents the best practices for conducting reproducible research in clinical psychology. The scientific method is one way of explaining phenomena. It can be contrasted with other methods, such as explanation via tradition or metaphysics, by a few foundational principles. The chapter briefly reviews the distinguishing principles of the scientific method, with a focus on reproducibility. It describes a way to do psychological research that is more likely to lead to reproducible findings. In this alternative approach, scientists think through and preregister studies. They make all methods and data open to the public to the extent possible. Studies have adequate power and use maximally precise measures. Null effects are valued as much as positive effects, and the question shifts from ""is this effect real?"" To ""how substantial is the effect and how precisely can we estimate it?"" Effects are routinely replicated. Journals and universities adjust their incentive structures to reward reproducible science, and the popular press and media follow suit. (Psycinfo database record (c) 2022 apa, all rights reserved)","","","2020","10.1017/9781316995808.035","","","psychinfo-2020-10992-028.pdf","psychinfo-2020-10992-028"
"Blockchain-enabled immutable distributed and highly available clinical research activity logging system for federated COVID-19 data analysis from multiple institutions","Kuo T. T., Pham A., Edelson M. E., Kim J., Chan J., Gupta Y., Ohno-Machado L.","Journal of the American Medical Informatics Association","","OBJECTIVE: We aimed to develop a distributed immutable and highly available cross-cloud blockchain system to facilitate federated data analysis activities among multiple institutions.\\\\\\\\rMATERIALS AND METHODS: We preprocessed 9166 COVID-19 Structured Query Language (SQL) code summary statistics and user activity logs from the GitHub repository of the Reliable Response Data Discovery for COVID-19 (R2D2) Consortium. The repository collected local summary statistics from participating institutions and aggregated the global result to a COVID-19-related clinical query previously posted by clinicians on a website. We developed both on-chain and off-chain components to store/query these activity logs and their associated queries/results on a blockchain for immutability transparency and high availability of research communication. We measured run-time efficiency of contract deployment network transactions and confirmed the accuracy of recorded logs compared to a centralized baseline solution.\\\\\\\\rRESULTS: The smart contract deployment took 4.5 s on an average. The time to record an activity log on blockchain was slightly over 2 s versus 5-9 s for baseline. For querying each query took on an average less than 0.4 s on blockchain versus around 2.1 s for baseline.\\\\\\\\rDISCUSSION: The low deployment recording and querying times confirm the feasibility of our cross-cloud blockchain-based federated data analysis system. We have yet to evaluate the system on a larger network with multiple nodes per cloud to consider how to accommodate a surge in activities and to investigate methods to lower querying time as the blockchain grows.\\\\\\\\rCONCLUSION: Blockchain technology can be used to support federated data analysis among multiple institutions. Copyright © The Author(s) 2023. Published by Oxford University Press on behalf of the American Medical Informatics Association.","","","2023","10.1093/jamia/ocad049","","","medline-36916740.pdf","medline-36916740"
"Fernanda laguna and projects that weave networks. Another way of:reading the:political in:art","Novelli, J.","Itinerarios","","The article analyzes certain artistic projects devised by the poet and plastic artist fernanda laguna. Among the different projects, we will focus on the belleza y felicidad art gallery and publishing house, the eloísa cartonera publishing house, and the belleza y felicidad fiorito art gallery and school. All of them emerge in the context of the crisis of the late 1990s and early 2000s and share related practices that will be thought of in connection with modes of discourse, ways of life and community representations (rancière 2014). Along these lines, our aim is to explore the notion of experimental communities (laddaga 2006) and the deployment of ways of life that these groups and projects proposed in the context of the crisis. Starting from the notion of political art proposed by rancière (2006) we will investigate the potentialities of the different projects and their role in the partition of the sensitive. In this sense, in addition to analyzing the aforementioned projects, we will read the links between the magazine of belleza y felicidad -ceci y fer- and the zines from feminist movements in the united states (especially riot grrrl) whose artistic interventions have uncovered different daily vulnerabilities. © 2021 university of warsaw. All rights reserved.","","","2021","10.7311/itinerarios.33.2021.05","","","scopus-2-s2.0-85139736386.pdf","scopus-2-s2.0-85139736386"
"Culture Change in Older Adult Care Settings: A Bibliometric Review","Ivanitskaya L. V., Bogner M. P.","Gerontologist","","BACKGROUND AND OBJECTIVES: We systematically analyzed research on the culture change movement in the context of global efforts to transform the provision of older adult care in institutional settings.\\\\\\\\rRESEARCH DESIGN AND METHODS: Using Web of Science and Scopus publications relevant to person-centered care culture change or older adult care settings we built bibliometric networks for keywords and terms extracted from titles and abstracts. Overlays depicted corresponding authors' countries publication recency funding scientific impact and concept use.\\\\\\\\rRESULTS: The keyword network for 337 publications revealed variability in culture change settings and study indexing. Term network overlays showed geographical and chronological research variation. Corresponding authors from 14 countries contributed publications mostly from the U.S. (69% of publications) Canada (9%) and Australia (5%). Social environment and person-centeredness studies particularly in dementia care settings were more recent than studies on physical environment quality organizational culture turnover and staffing. Scholars listed funding sources for 38% of publications; funding and scientific impact did not always overlap. Well-cited studies on standards of care and policy were funded at a lower rate than topics of lower impact. Over 60% of titles abstracts or keywords referred to quality and person-centeredness.\\\\\\\\rDISCUSSION AND IMPLICATIONS: Originating in the 1990s in the U.S. culture change quickly became an international phenomenon drawing researchers' attention. Change research has deep roots in quality improvement and person-centered philosophy. We offered practical strategies for querying this hard to access literature. With some database-related limitations empirical data on scientific impact can be used to allocate research funding. Copyright © The Author(s) 2023. Published by Oxford University Press on behalf of The Gerontological Society of America. All rights reserved. For permissions please e-mail: journals.permissions@oup.com.","","","2023","10.1093/geront/gnad128","","","medline-37740248.pdf","medline-37740248"
