"uid","Intervention","Intervention Provider","Target Population","Target Population Location","Discipline","Research Stage","Outcome Measures"
"scopus-2-s2.0-84904104344","Workflow standardisation","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Engineering and technology","Conduct stage","Materials availability and re-use"
"scopus-2-s2.0-84909594953","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences; Social sciences","Reporting stage","Computational reproducibility"
"scopus-2-s2.0-84910011789","Other reporting guidelines, checklists, or standards","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Engineering and technology","Reporting stage","Reporting quality"
"scopus-2-s2.0-84911416889","Data access policies / agreements","Third party service provider","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Data availability and re-use; Privacy protection"
"scopus-2-s2.0-84911877884","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Engineering and technology","Conduct stage","Code / analysis availability and re-use"
"scopus-2-s2.0-84911886894","Data access policies / agreements","Researchers / Researcher Collaboration","Healthcare workers","Unspecified","Biomedical and health sciences","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-84917671177","Documentation system","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences; Engineering and technology","Conduct stage","Computational reproducibility"
"scopus-2-s2.0-84919794362","Other peer review process","Institution","Students","Unspecified","Social sciences","Conduct stage","Effect size estimation"
"scopus-2-s2.0-84922781597","Other reporting guidelines, checklists, or standards","Funder","Researchers / Researcher Collaboration","United Kingdom","Biomedical and health sciences","Planning and design stage; Conduct stage; Reporting stage","Reporting quality; Cost-effectiveness"
"scopus-2-s2.0-84923331948","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Unspecified"
"scopus-2-s2.0-84923914792","Data acquisition strategy","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Australia","Natural sciences","Planning and design stage; Conduct stage","Data availability and re-use; Effect size estimation"
"scopus-2-s2.0-84924186438","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Canada","Natural sciences","Conduct stage","Computational reproducibility"
"scopus-2-s2.0-84925243945","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences","Conduct stage","Computational reproducibility"
"scopus-2-s2.0-84927719293","Data access policies / agreements","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Engineering and technology","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-84930526496","Other reporting guidelines, checklists, or standards","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Engineering and technology","Planning and design stage; Conduct stage; Reporting stage","Reporting quality; Computational reproducibility"
"scopus-2-s2.0-84930979959","Unspecified","Unspecified","Unspecified","Unspecified","Engineering and technology","Unspecified","Unspecified"
"scopus-2-s2.0-84932640655","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences; Engineering and technology","Planning and design stage; Conduct stage","Materials availability and re-use"
"scopus-2-s2.0-84939863610","Open science infrastructure","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences; Engineering and technology","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-84939874615","Health research engagement intervention","Community organization","Patients","United States","Biomedical and health sciences","Outreach","Data availability and re-use"
"scopus-2-s2.0-84941027221","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Engineering and technology","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-84941036423","Mentoring / role models","Institution","Students","Unspecified","Biomedical and health sciences","Conduct stage","Reporting quality"
"scopus-2-s2.0-84945116226","Open science infrastructure","Institution","Researchers / Researcher Collaboration","Unspecified","Engineering and technology","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-84945485668","Data access policies / agreements","Organisation","Organisation","Unspecified","Engineering and technology","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-84946562012","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Assessment","Reporting quality"
"scopus-2-s2.0-84947738201","Data sharing policy/guideline","Funder","Researchers / Researcher Collaboration","United States","Social sciences","Reporting stage","Publication bias"
"scopus-2-s2.0-84951751446","Data sharing policy/guideline","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences","Conduct stage","Computational reproducibility"
"scopus-2-s2.0-84953071716","Other reporting guidelines, checklists, or standards","Researchers / Researcher Collaboration","Students","Unspecified","Social sciences","Conduct stage","Effect size estimation"
"scopus-2-s2.0-84953233496","Data access policies / agreements","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences; Engineering and technology","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-84960868916","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Developing country","Social sciences","Conduct stage","Data quality checks / feedback"
"scopus-2-s2.0-84962555549","Other reporting guidelines, checklists, or standards","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"scopus-2-s2.0-84962705447","Centralised sharing platform","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage; Reporting stage","Data availability and re-use; Reporting quality"
"scopus-2-s2.0-84962769240","CONSORT guidelines; STRICTA guidelines","Unspecified","Researchers / Researcher Collaboration","China","Biomedical and health sciences","Reporting stage","Reporting quality"
"scopus-2-s2.0-84964402234","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Engineering and technology","Conduct stage","Computational reproducibility"
"scopus-2-s2.0-84969168238","Data sharing policy/guideline","Institution","Researchers / Researcher Collaboration","Norway; Sweden","Natural sciences","Conduct stage","Data availability and re-use"
