"uid","Target Population","Intervention Provider","Discipline","Intervention","Outcome Measures","Research Stage","Target Population Location"
"embase-2000608414","Researchers / Researcher Collaboration","Institution","Biomedical and health sciences","Data sharing policy/guideline","Data availability and re-use","Conduct stage","Unspecified"
"embase-2000730462","Researchers / Researcher Collaboration","Publisher / journal","Biomedical and health sciences","ICMJE guidelines","Reporting quality","Reporting stage","Unspecified"
"embase-2001775959","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Experimental design","Computational reproducibility","Planning and design stage","Unspecified"
"embase-2001869923","Students","Institution","Biomedical and health sciences","Experimental design","Type I/II error reduction","Conduct stage","Unspecified"
"embase-2001950887","Researchers / Researcher Collaboration","Institution","Biomedical and health sciences","Data management training","Data availability and re-use","Conduct stage","Unspecified"
"embase-2001956578","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Workflow standardisation","Computational reproducibility","Conduct stage","Unspecified"
"embase-2001995645","Students","Researchers / Researcher Collaboration","Biomedical and health sciences; Social sciences","Experimental design","Type I/II error reduction","Conduct stage","United States"
"embase-2002113928","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other reporting guidelines, checklists, or standards","Reporting quality; Type I/II error reduction","Planning and design stage; Conduct stage; Reporting stage","Unspecified"
"embase-2002246392","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Natural sciences","Other","Other","Conduct stage","Unspecified"
"embase-2002322319","Researchers / Researcher Collaboration","Other","Biomedical and health sciences","Other reporting guidelines, checklists, or standards","Reporting quality","Reporting stage","Netherlands"
"embase-2002746717","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Data sharing policy/guideline","Data availability and re-use; Reporting quality","Conduct stage; Reporting stage","Unspecified"
"embase-2002779424","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Documentation system","Reporting quality; Computational reproducibility","Conduct stage; Reporting stage","United States"
"embase-2003191717","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other","Computational reproducibility; Data availability and re-use","Conduct stage; Reporting stage","Germany"
"embase-2003521029","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Open science infrastructure","Data availability and re-use; Computational reproducibility","Conduct stage","Unspecified"
"embase-2003823793","Researchers / Researcher Collaboration","Other","Biomedical and health sciences","Other reporting guidelines, checklists, or standards","Reporting quality","Reporting stage","Canada"
"embase-2004129279","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other quality checks / feedback","Reporting quality","Conduct stage","Europe"
"embase-2004319471","Researchers / Researcher Collaboration","Publisher / journal","Social sciences","Data sharing policy/guideline","Data availability and re-use","Reporting stage","Unspecified"
"embase-2004395175","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Natural sciences","Other quality checks / feedback","Other","Conduct stage","Unspecified"
"embase-2004451351","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Natural sciences; Biomedical and health sciences","Other quality checks / feedback","Data availability and re-use; Computational reproducibility","Conduct stage","Unspecified"
"embase-2004476892","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Statistical method","Type I/II error reduction","Conduct stage","Unspecified"
"embase-2004538543","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Natural sciences","Documentation system","Computational reproducibility","Conduct stage","Unspecified"
"embase-2004681280","Researchers / Researcher Collaboration","Institution","Natural sciences; Engineering and technology","Other","Transparency of contributions","Conduct stage","United States"
"embase-2004884540","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Statistical method","Type I/II error reduction; Type I/II error reduction","Planning and design stage; Conduct stage","Unspecified"
"embase-2005274867","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Materials sharing policy/guideline","Materials availability and re-use; Computational reproducibility","Conduct stage","Unspecified"
"embase-2005460457","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Experimental design","Computational reproducibility","Conduct stage","Unspecified"
"embase-2005484203","Researchers / Researcher Collaboration","Government","Biomedical and health sciences","Other reporting guidelines, checklists, or standards","Reporting quality","Reporting stage","United Kingdom"
"embase-2005585572","Other","Researchers / Researcher Collaboration","Social sciences","Other quality checks / feedback","Reporting quality","Conduct stage","Germany"
"embase-2005647356","Researchers / Researcher Collaboration","Publisher / journal","Natural sciences; Biomedical and health sciences","Data sharing policy/guideline","Data availability and re-use; Other","Reporting stage","Unspecified"
"embase-2006042790","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Social sciences","Data sharing policy/guideline; Workflow standardisation","Computational reproducibility; Reporting quality","Reporting stage","Unspecified"
"embase-2006115153","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Experimental design","Computational reproducibility","Conduct stage","Unspecified"
"embase-2006158792","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other reporting guidelines, checklists, or standards","Reporting quality; Computational reproducibility","Conduct stage; Reporting stage","Unspecified"
"embase-2006957519","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Computational reproducibility checks / feedback","Computational reproducibility","Conduct stage","Unspecified"
"embase-2006970508","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other quality checks / feedback","Computational reproducibility","Conduct stage","Unspecified"
"embase-2007355908","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other reporting guidelines, checklists, or standards","Reporting quality","Reporting stage","Global"
"embase-2007359288","Researchers / Researcher Collaboration","Institution","Social sciences","Pre-registration","Type I/II error reduction","Planning and design stage","Unspecified"
"embase-2007534753","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Data quality checks / feedback","Other","Conduct stage","United States"
"embase-2007545480","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Experimental design","Type I/II error reduction; Reporting quality","Planning and design stage; Conduct stage","Unspecified"
