"","Threshold","Utility","Specificity","Sensitivity","Precision","F1","Balanced.Accuracy","Chosen"
"1",0.01,0.833333333333333,0,1,0.31,0.473282442748092,0.5,0
"2",0.02,0.833333333333333,0,1,0.31,0.473282442748092,0.5,0
"3",0.03,0.833333333333333,0,1,0.31,0.473282442748092,0.5,0
"4",0.04,0.833333333333333,0,1,0.31,0.473282442748092,0.5,0
"5",0.05,0.833574879227053,0.00144927536231884,1,0.31031031031031,0.473644003055768,0.500724637681159,0
"6",0.06,0.835507246376812,0.0130434782608696,1,0.312815338042381,0.476556495003843,0.506521739130435,0
"7",0.07,0.838405797101449,0.0304347826086957,1,0.316649642492339,0.480993017843289,0.515217391304348,0
"8",0.08,0.841756272401434,0.0666666666666667,0.996774193548387,0.324239244491081,0.489311163895487,0.531720430107527,0
"9",0.09,0.847311827956989,0.1,0.996774193548387,0.332258064516129,0.498387096774194,0.548387096774194,0
"10",0.1,0.856249026024622,0.153623188405797,0.996774193548387,0.346024636058231,0.513715710723192,0.575198690977092,0
"11",0.11,0.863978494623656,0.2,0.996774193548387,0.358885017421603,0.527754056362084,0.598387096774194,0
"12",0.12,0.875572697522207,0.269565217391304,0.996774193548387,0.380073800738007,0.550311665182547,0.633169705469846,0
"13",0.13,0.882819074333801,0.31304347826087,0.996774193548387,0.39463601532567,0.565416285452882,0.654908835904628,0
"14",0.14,0.885172198846813,0.359420289855072,0.990322580645161,0.409879839786382,0.579792256846081,0.674871435250117,0
"15",0.15,0.894109396914446,0.41304347826087,0.990322580645161,0.431179775280899,0.600782778864971,0.701683029453015,0
"16",0.16,0.89818450989559,0.453623188405797,0.987096774193548,0.448023426061493,0.61631419939577,0.720359981299673,0
"17",0.17,0.904223157238585,0.489855072463768,0.987096774193548,0.465045592705167,0.632231404958678,0.738475923328658,0
"18",0.18,0.905610098176718,0.530434782608696,0.980645161290323,0.484076433121019,0.64818763326226,0.755539971949509,0
"19",0.19,0.911407199625993,0.565217391304348,0.980645161290323,0.503311258278146,0.665207877461707,0.772931276297335,0
"20",0.2,0.914757674925978,0.601449275362319,0.97741935483871,0.524221453287197,0.682432432432433,0.789434315100514,0
"21",0.21,0.915419978182952,0.63768115942029,0.970967741935484,0.546279491833031,0.699186991869919,0.804324450677887,0
"22",0.22,0.917562724014337,0.666666666666667,0.967741935483871,0.566037735849057,0.714285714285714,0.817204301075269,0
"23",0.23,0.921185912420134,0.688405797101449,0.967741935483871,0.58252427184466,0.727272727272727,0.82807386629266,0
"24",0.24,0.920913199314321,0.702898550724638,0.964516129032258,0.593253968253968,0.734643734643735,0.833707339878448,0
"25",0.25,0.915264142122487,0.717391304347826,0.954838709677419,0.602851323828921,0.739076154806492,0.836115007012623,0
"26",0.26,0.914266791335515,0.727536231884058,0.951612903225806,0.610766045548654,0.744010088272383,0.839574567554932,1
"27",0.27,0.914477170017142,0.744927536231884,0.948387096774194,0.625531914893617,0.753846153846154,0.846657316503039,0
"28",0.28,0.91396291101761,0.757971014492754,0.945161290322581,0.63695652173913,0.761038961038961,0.851566152407667,0
"29",0.29,0.914897927380396,0.779710144927536,0.941935483870968,0.657657657657658,0.774535809018568,0.860822814399252,0
"30",0.3,0.908765778401122,0.791304347826087,0.932258064516129,0.66743648960739,0.77792732166891,0.861781206171108,0
"31",0.31,0.905563347358579,0.804347826086957,0.925806451612903,0.680094786729858,0.784153005464481,0.86507713884993,0
"32",0.32,0.902602462209755,0.818840579710145,0.919354838709677,0.695121951219512,0.791666666666667,0.869097709209911,0
"33",0.33,0.902571294997662,0.834782608695652,0.916129032258065,0.71356783919598,0.80225988700565,0.875455820476858,0
"34",0.34,0.890338164251208,0.842028985507246,0.9,0.719072164948454,0.799426934097421,0.871014492753623,0
"35",0.35,0.888857721676796,0.849275362318841,0.896774193548387,0.727748691099476,0.803468208092486,0.873024777933614,0
"36",0.36,0.882484026803802,0.859420289855072,0.887096774193548,0.739247311827957,0.806451612903226,0.87325853202431,0
"37",0.37,0.881245130123111,0.868115942028985,0.883870967741936,0.750684931506849,0.811851851851852,0.87599345488546,0
"38",0.38,0.874146797568958,0.873913043478261,0.874193548387097,0.756983240223464,0.811377245508982,0.874053295932679,0
"39",0.39,0.869736637057815,0.879710144927536,0.867741935483871,0.764204545454545,0.812688821752266,0.873726040205704,0
"40",0.4,0.866051114227832,0.889855072463768,0.861290322580645,0.778425655976676,0.817764165390505,0.875572697522207,0
"41",0.41,0.867017297802712,0.895652173913044,0.861290322580645,0.787610619469027,0.822804314329738,0.878471248246844,0
"42",0.42,0.859435873461119,0.898550724637681,0.851612903225806,0.790419161676647,0.819875776397516,0.875081813931744,0
"43",0.43,0.851854449119526,0.901449275362319,0.841935483870968,0.793313069908815,0.816901408450704,0.871692379616643,0
"44",0.44,0.847685834502104,0.908695652173913,0.835483870967742,0.804347826086957,0.819620253164557,0.872089761570827,0
"45",0.45,0.83814087579866,0.915942028985507,0.82258064516129,0.814696485623003,0.818619582664527,0.869261337073399,0
"46",0.46,0.833247623500078,0.918840579710145,0.816129032258065,0.818770226537217,0.817447495961228,0.867484805984105,0
"47",0.47,0.825666199158485,0.921739130434783,0.806451612903226,0.822368421052632,0.814332247557003,0.864095371669004,0
"48",0.48,0.8105033504753,0.927536231884058,0.787096774193548,0.829931972789116,0.80794701986755,0.857316503038803,0
"49",0.49,0.805368552282998,0.928985507246377,0.780645161290323,0.831615120274914,0.805324459234609,0.85481533426835,0
"50",0.5,0.803646563814867,0.934782608695652,0.77741935483871,0.842657342657343,0.808724832214765,0.856100981767181,0
"51",0.51,0.792893875642824,0.934782608695652,0.764516129032258,0.840425531914894,0.800675675675676,0.849649368863955,0
"52",0.52,0.790688795387253,0.93768115942029,0.761290322580645,0.845878136200717,0.801358234295416,0.849485741000467,0
"53",0.53,0.7835904628331,0.943478260869565,0.751612903225806,0.856617647058823,0.800687285223368,0.847545582047686,0
"54",0.54,0.781626928471248,0.947826086956522,0.748387096774194,0.865671641791045,0.802768166089965,0.848106591865358,0
"55",0.55,0.776492130278947,0.949275362318841,0.741935483870968,0.867924528301887,0.8,0.845605423094904,0
